employeeId,payrollPeriodCode,timesheetCode,basicPay,overtimePay,nightDiffPay,holidayPay,allowances,bonuses,taxAmount,sssContribution,philHealthContribution,pagibigContribution,loanDeductions,absentDeduction,lateDeduction,earlyOutDeduction,otherDeductions,grossPay,totalDeductions,netPay,regularHours,overtimeHours,isPaid,paidAt,paymentMethod,referenceNumber,notes,metadata
BNEI-001,PAY-2099-01A,TS-2099-01A-0001,2000,0,0,0,500,0,200,100,50,50,0,0,0,0,0,2500,400,2100,8,0,true,2099-01-20T00:00:00.000Z,BANK_TRANSFER,PAYREF-0001,Sample payroll history row,"{""source"":""sample-pack""}"
BNEI-002,PAY-2099-01A,TS-2099-01A-0002,2050,0,0,0,500,0,200,100,50,50,0,0,0,0,0,2550,400,2150,8,0,true,2099-01-20T00:00:00.000Z,BANK_TRANSFER,PAYREF-0002,Sample payroll history row,"{""source"":""sample-pack""}"
BNEI-003,PAY-2099-01A,TS-2099-01A-0003,2100,0,0,0,500,0,200,100,50,50,0,0,0,0,0,2600,400,2200,8,0,true,2099-01-20T00:00:00.000Z,BANK_TRANSFER,PAYREF-0003,Sample payroll history row,"{""source"":""sample-pack""}"
00050,PAY-2099-01A,TS-2099-01A-0004,2150,0,0,0,500,0,200,100,50,50,0,0,0,0,0,2650,400,2250,8,0,true,2099-01-20T00:00:00.000Z,BANK_TRANSFER,PAYREF-0004,Sample payroll history row,"{""source"":""sample-pack""}"
00062,PAY-2099-01A,TS-2099-01A-0005,2200,0,0,0,500,0,200,100,50,50,0,0,0,0,0,2700,400,2300,8,0,true,2099-01-20T00:00:00.000Z,BANK_TRANSFER,PAYREF-0005,Sample payroll history row,"{""source"":""sample-pack""}"
00065,PAY-2099-01A,TS-2099-01A-0006,2250,0,0,0,500,0,200,100,50,50,0,0,0,0,0,2750,400,2350,8,0,true,2099-01-20T00:00:00.000Z,BANK_TRANSFER,PAYREF-0006,Sample payroll history row,"{""source"":""sample-pack""}"
00073,PAY-2099-01A,TS-2099-01A-0007,2300,0,0,0,500,0,200,100,50,50,0,0,0,0,0,2800,400,2400,8,0,true,2099-01-20T00:00:00.000Z,BANK_TRANSFER,PAYREF-0007,Sample payroll history row,"{""source"":""sample-pack""}"
00083,PAY-2099-01A,TS-2099-01A-0008,2350,0,0,0,500,0,200,100,50,50,0,0,0,0,0,2850,400,2450,8,0,true,2099-01-20T00:00:00.000Z,BANK_TRANSFER,PAYREF-0008,Sample payroll history row,"{""source"":""sample-pack""}"
00088,PAY-2099-01A,TS-2099-01A-0009,2400,0,0,0,500,0,200,100,50,50,0,0,0,0,0,2900,400,2500,8,0,true,2099-01-20T00:00:00.000Z,BANK_TRANSFER,PAYREF-0009,Sample payroll history row,"{""source"":""sample-pack""}"
00104,PAY-2099-01A,TS-2099-01A-0010,2450,0,0,0,500,0,200,100,50,50,0,0,0,0,0,2950,400,2550,8,0,true,2099-01-20T00:00:00.000Z,BANK_TRANSFER,PAYREF-0010,Sample payroll history row,"{""source"":""sample-pack""}"
