employeeId,reportToEmployeeId
BNEI-002,BNEI-001
BNEI-003,BNEI-002
00050,BNEI-001
00062,BNEI-001
00065,BNEI-001
00073,BNEI-002
00083,BNEI-002
00088,BNEI-002
00104,BNEI-002
01364,BNEI-002
01414,BNEI-002
01623,BNEI-003
20013,BNEI-003
20014,BNEI-003
20015,BNEI-003
20016,BNEI-003
20017,BNEI-003
20018,00050
20019,00050
20020,00050
20021,00050
20022,00050
20023,00050
20024,00062
20025,00062
20026,00062
20027,00062
20028,00062
20029,00062
20030,00065
20031,00065
20032,00065
20033,00065
20034,00065
20035,00065
20036,00073
20037,00073
20038,00073
20039,00073
20040,00073
20041,00073
20042,00083
20043,00083
20044,00083
20045,00083
20046,00083
20047,00083
20048,00088
20049,00088
20050,00088
20051,00088
20052,00088
20053,00088
20054,00104
20055,00104
20056,00104
20057,00104
20058,00104
20059,00104
20060,20013
20061,20013
20062,20013
20063,20013
20064,20013
20065,20013
20066,20014
20067,20014
20068,20014
20069,20014
20070,20014
20071,20014
20072,20015
20073,20015
20074,20015
20075,20015
20076,20015
20077,20015
20078,20016
20079,20016
20080,20016
20081,20016
20082,20016
20083,20016
20084,20017
20085,20017
20086,20017
20087,20017
20088,20017
20089,20017
20090,20019
20091,20019
20092,20019
20093,20019
20094,20019
20095,20019
20096,20020
20097,20020
20098,20020
20099,20020
