employeeId,payrollPeriodCode,timesheetCode,date,revisionNo,attendanceDate,status,timeIn,timeBreak,timeOut,behaviorFlags,scheduleSnapshot,hoursWorked,regularHours,overtimeHours,undertimeHours,lateHours,earlyOutHours,breakMinutes,notes,metadata
BNEI-001,PAY-2099-01A,TS-2099-01A-0001,2099-01-02T00:00:00.000Z,1,2099-01-02T00:00:00.000Z,PRESENT,2099-01-02T09:00:00.000Z,2099-01-02T12:00:00.000Z,2099-01-02T18:00:00.000Z,"[""ON_TIME""]","{""shiftTypeCode"":""DAY-STD""}",08:00,08:00,00:00,00:00,00:00,00:00,60,Sample timesheet line,"{""source"":""sample-pack""}"
BNEI-002,PAY-2099-01A,TS-2099-01A-0002,2099-01-03T00:00:00.000Z,1,2099-01-03T00:00:00.000Z,PRESENT,2099-01-03T09:00:00.000Z,2099-01-03T12:00:00.000Z,2099-01-03T18:00:00.000Z,"[""ON_TIME""]","{""shiftTypeCode"":""DAY-STD""}",08:00,08:00,00:00,00:00,00:00,00:00,60,Sample timesheet line,"{""source"":""sample-pack""}"
BNEI-003,PAY-2099-01A,TS-2099-01A-0003,2099-01-04T00:00:00.000Z,1,2099-01-04T00:00:00.000Z,PRESENT,2099-01-04T09:00:00.000Z,2099-01-04T12:00:00.000Z,2099-01-04T18:00:00.000Z,"[""ON_TIME""]","{""shiftTypeCode"":""DAY-STD""}",08:00,08:00,00:00,00:00,00:00,00:00,60,Sample timesheet line,"{""source"":""sample-pack""}"
00050,PAY-2099-01A,TS-2099-01A-0004,2099-01-05T00:00:00.000Z,1,2099-01-05T00:00:00.000Z,PRESENT,2099-01-05T09:00:00.000Z,2099-01-05T12:00:00.000Z,2099-01-05T18:00:00.000Z,"[""ON_TIME""]","{""shiftTypeCode"":""DAY-STD""}",08:00,08:00,00:00,00:00,00:00,00:00,60,Sample timesheet line,"{""source"":""sample-pack""}"
00062,PAY-2099-01A,TS-2099-01A-0005,2099-01-06T00:00:00.000Z,1,2099-01-06T00:00:00.000Z,PRESENT,2099-01-06T09:00:00.000Z,2099-01-06T12:00:00.000Z,2099-01-06T18:00:00.000Z,"[""ON_TIME""]","{""shiftTypeCode"":""DAY-STD""}",08:00,08:00,00:00,00:00,00:00,00:00,60,Sample timesheet line,"{""source"":""sample-pack""}"
00065,PAY-2099-01A,TS-2099-01A-0006,2099-01-07T00:00:00.000Z,1,2099-01-07T00:00:00.000Z,PRESENT,2099-01-07T09:00:00.000Z,2099-01-07T12:00:00.000Z,2099-01-07T18:00:00.000Z,"[""ON_TIME""]","{""shiftTypeCode"":""DAY-STD""}",08:00,08:00,00:00,00:00,00:00,00:00,60,Sample timesheet line,"{""source"":""sample-pack""}"
00073,PAY-2099-01A,TS-2099-01A-0007,2099-01-08T00:00:00.000Z,1,2099-01-08T00:00:00.000Z,PRESENT,2099-01-08T09:00:00.000Z,2099-01-08T12:00:00.000Z,2099-01-08T18:00:00.000Z,"[""ON_TIME""]","{""shiftTypeCode"":""DAY-STD""}",08:00,08:00,00:00,00:00,00:00,00:00,60,Sample timesheet line,"{""source"":""sample-pack""}"
00083,PAY-2099-01A,TS-2099-01A-0008,2099-01-09T00:00:00.000Z,1,2099-01-09T00:00:00.000Z,PRESENT,2099-01-09T09:00:00.000Z,2099-01-09T12:00:00.000Z,2099-01-09T18:00:00.000Z,"[""ON_TIME""]","{""shiftTypeCode"":""DAY-STD""}",08:00,08:00,00:00,00:00,00:00,00:00,60,Sample timesheet line,"{""source"":""sample-pack""}"
00088,PAY-2099-01A,TS-2099-01A-0009,2099-01-10T00:00:00.000Z,1,2099-01-10T00:00:00.000Z,PRESENT,2099-01-10T09:00:00.000Z,2099-01-10T12:00:00.000Z,2099-01-10T18:00:00.000Z,"[""ON_TIME""]","{""shiftTypeCode"":""DAY-STD""}",08:00,08:00,00:00,00:00,00:00,00:00,60,Sample timesheet line,"{""source"":""sample-pack""}"
00104,PAY-2099-01A,TS-2099-01A-0010,2099-01-11T00:00:00.000Z,1,2099-01-11T00:00:00.000Z,PRESENT,2099-01-11T09:00:00.000Z,2099-01-11T12:00:00.000Z,2099-01-11T18:00:00.000Z,"[""ON_TIME""]","{""shiftTypeCode"":""DAY-STD""}",08:00,08:00,00:00,00:00,00:00,00:00,60,Sample timesheet line,"{""source"":""sample-pack""}"
