employeeId,payrollPeriodCode,code,status,submittedAt,submittedBy,approvedBy,approvalDate,rejectionReason,notes,metadata
BNEI-001,PAY-2099-01A,TS-2099-01A-0001,APPROVED,2099-01-15T09:00:00.000Z,BNEI-001,BNEI-001,2099-01-16T09:00:00.000Z,,Sample approved timesheet,"{""source"":""sample-pack""}"
BNEI-002,PAY-2099-01A,TS-2099-01A-0002,APPROVED,2099-01-15T09:00:00.000Z,BNEI-002,BNEI-002,2099-01-16T09:00:00.000Z,,Sample approved timesheet,"{""source"":""sample-pack""}"
BNEI-003,PAY-2099-01A,TS-2099-01A-0003,APPROVED,2099-01-15T09:00:00.000Z,BNEI-003,BNEI-001,2099-01-16T09:00:00.000Z,,Sample approved timesheet,"{""source"":""sample-pack""}"
00050,PAY-2099-01A,TS-2099-01A-0004,APPROVED,2099-01-15T09:00:00.000Z,00050,BNEI-001,2099-01-16T09:00:00.000Z,,Sample approved timesheet,"{""source"":""sample-pack""}"
00062,PAY-2099-01A,TS-2099-01A-0005,APPROVED,2099-01-15T09:00:00.000Z,00062,BNEI-001,2099-01-16T09:00:00.000Z,,Sample approved timesheet,"{""source"":""sample-pack""}"
00065,PAY-2099-01A,TS-2099-01A-0006,APPROVED,2099-01-15T09:00:00.000Z,00065,BNEI-002,2099-01-16T09:00:00.000Z,,Sample approved timesheet,"{""source"":""sample-pack""}"
00073,PAY-2099-01A,TS-2099-01A-0007,APPROVED,2099-01-15T09:00:00.000Z,00073,BNEI-002,2099-01-16T09:00:00.000Z,,Sample approved timesheet,"{""source"":""sample-pack""}"
00083,PAY-2099-01A,TS-2099-01A-0008,APPROVED,2099-01-15T09:00:00.000Z,00083,BNEI-002,2099-01-16T09:00:00.000Z,,Sample approved timesheet,"{""source"":""sample-pack""}"
00088,PAY-2099-01A,TS-2099-01A-0009,APPROVED,2099-01-15T09:00:00.000Z,00088,BNEI-002,2099-01-16T09:00:00.000Z,,Sample approved timesheet,"{""source"":""sample-pack""}"
00104,PAY-2099-01A,TS-2099-01A-0010,APPROVED,2099-01-15T09:00:00.000Z,00104,BNEI-002,2099-01-16T09:00:00.000Z,,Sample approved timesheet,"{""source"":""sample-pack""}"
